Tag,Predicted,Corrected,Wiki
servicepacks,os,null,a service pack for microsoft windows is a updates for the operating system
medium-trust,application,null,trust level refers to permissions set in the web.config file that dictate what operations can and cannot be performed by web applications
content-encoding,concept,concept,a concept in http 1.1 content negotiation to indicate encryption or compression of an http response such as gzip support
textmatching,technique,technique,the most useful techniques in textmatching is regex
lob,tool,api,lob refers to a web services apis and tools provided by the company of the same name
dbtable,tables,tables,database tables store data in rows and columns
palib,library,library,pa_lib is a nintendo ds library using libnds especially designed for easy use
keyeventargs,event,event,a keyevent is an event that is triggered when a key is pressed on a keyboard input device
windowserror,exception,exception,windowserror is a built-in python exception raised when a windows-specific error occurs or when the error number does not correspond to an errno value
result,event,null,a result is the final consequence of a actions or events expressed qualitatively or quantitatively
has-many-polymorphs,plugin,null,this tag is for questions about the rails has-many-polymorphs plugin
unresolved-external,error,error,unresolved external symbol is a linker error
time.h,header,header,time.h is a c language header supplying date and time utility types and functions
nameservers,program,program,in computing a name server also spelled nameserver is a program or computer server that implements a name-service protocol
microsoft-commerce-server,product,product,microsoft commerce server is a microsoft product for building e-commerce systems
jtracert,application,profiler,jsonde previously callled jtracert is an open-source profiler for java applications which allows to generate seuence diagrams and various reports like jar files dependencies
mysqladministrator,feature,administrator,the mysql administrator provides a gui view of mysql allowing you to stop and start the server see database instances catalog tables fields etc and several other features
deadlines,field,field,a deadline is a narrow field of time in which an assignment or task has to be accomplished
marketplace,store,store,windows phone marketplace is microsoft s online store that allows users of windows-based smartphones to purchase download and install mobile applications
analyzer,device,null,an analyser also spelt analyzer is a person or device that analyses given data
helix,framework,framework,apache helix is a generic cluster management framework used for the automatic management of partitioned replicated and distributed resources hosted on a cluster of nodes
html-to-pdf,file,null,questions related to conversion of html pages to pdf files
zend-file,library,library,zend file is a library that s zend framework which is intended to make working with files easier
bloom,game,effect,bloom is a computer graphics effect used in video games and high dynamic range rendering hdr to reproduce an imaging artifact of real-world cameras
clientid,property,property,clientid is about a the id property in the client applications such as applications written in html
parse-recdescent,module,module,parse recdescent is a large object-oriented well-documented perl 5 module
binding-expressions,class,class,the binding class is the high-level class for the declaration of a binding
dvr,device,recorder,a digital video recorder dvr sometimes referred to by the merchandising term personal video recorder pvr is a consumer electronics device or application software that records video in a digital format to a disk drive usb flash drive sd memory card ssd or other local or networked mass storage device
icomparablet,interface,interface,icomparable interface defines a generalized comparison method that a value type or class implements to create a type-specific comparison method for ordering instances
skus,product,identifier,skus are unique identifiers for each distinct product
bytesio,implementation,implementation,a stream implementation using an in-memory bytes buffer
shaml,framework,framework,shaml is an asp.net mvc 2 framework with nhibernate 2.1 for mono 2.4.4+
drools-flow,application,application,jbpm5 is business process management workflow application
preconditions,code,null,a precondition is some condition which must be satisfied before running a given section of code
approval,platform,null,support for developers who have questions about the approval process of platforms like facebook application subbition i-tunes and google play
csb,bus,bus,a canon i cal schema bus is a vari ant of the enter prise ser vice bus which has a ded i cated inner sanc tum in which only canon i cal schemas can travel
calculated-field,field,field,a calculated field or calculated column is a temporary virtual column which is generated by a query and contains the result of a calculation a price with vat
external-tables,location,table,an external tables is a hive table which doesn t copy data from the location pointed to while creating of that table
parallel-python,module,module,parallel python pp is a python module which provides mechanism for parallel execution of python code on smp systems with multiple processors or cores and clusters computers connected via network
256color,method,method,8-bit color graphics is a method of storing image information in a computer s memory or in an image file such that each pixel is represented by one 8-bit byte
getrusage,function,function,getrusage is a unix function that measures resources used by the current process
waitforsingleobject,object,object,waits until the specified object is in the signaled state or the time-out interval elapses
white-labelling,code,null,the practice of creating generic code such that it can be easily reused on multiple projects for different clients with independent branding requirements
soundplayer,method,method,soundplayer is a method which plays .wav files in c#
machine-instruction,architecture,architecture,computers implement an instruction set architecture that define the action the hardware the should be capable of performing
android-version,os,null,the version history of the android mobile operating system began with the release of the android beta in november 2007
sifr3,element,element,sifr is an open-source javascript and adobe flash dynamic web fonts implementation enabling the replacement of text elements on html web pages with flash equivalents
wwsapi,implementation,implementation,wwsapi is a native-code implementation of wcf providing network communication functionality by supporting a the ws- and .net- protocols
pressure,device,null,pressing a touchscreen is a way for user to interact with mobile device
xceed-datagrid,feature,null,xceed datagrid for wpf is designed to extend the features of the base wpf datagrid control
banner-ads,application,application,a banner ad is a advertising on mobile application
data-virtualization,application,null,data virtualization is any approach to data management that allows an application to retrieve and manipulate data without requiring technical details about the data such as how it is formatted or where it is physically located
html-parser,library,library,html parser is a java html parsing library
catiledlayer,layer,calayer,catiledlayer is a subclass of calayer providing a way to asynchronously provide tiles of the layer s content potentially cached at multiple levels of detail
hpsa,automation,automation,hp server automation offers a complete lifecycle management solution for servers allowing clients to standardize consolidate and automate server operations in their hybrid data center
screen-projection,object,null,screen-projection is the a means of representing a three-dimensional object in two dimensions through the use of mathematical formulas
viewstub,runtime,view,a viewstub is an invisible zero-sized view that can be used to lazily inflate layout resources at runtime
audioqueue,service,null,audio queue services is high level
asp.net-authentication,method,null,asp.net in conjunction with microsoft internet information services iis can authenticate user credentials such as names and passwords using any of the following authentication methods
objectiveresource,port,port,objectiveresource is an objective-c port of ruby on rails activeresource
gdata-java-client,service,service,google gives different gdata services
system.interactive,library,library,interactive extensions ix is a library providing extensions to the linq to objects query operators influenced by query operators introduced in reactive extensions rx
